Id	Edat	Alt	Pes	Sexe	Tabac	Oci	
927	49	161	56	d	1	3	
928	78	158	68	d	0	3	
929	11	155	43	d	0	2	
930	18	165	53	d	1	4	
931	18	185	60	h	1	3	
932	24	180	65	h	1	2	
933	23	160	48	d	1	3	
934	17	163	55	d	1	1	
935	18	175	70	h	1	4	
936	23	162	65	d	1	3	
937	83	155	72	d	0	1	
938	17	165	50	d	1	3	
939	19	180	65	h	0	4	
940	32	175	70	h	0	2	
941	18	180	63	h	0	2	
942	18	176	60	h	0	1	
943	18	184	65	h	0	4	
944	18	179	64	h	0	3	
945	18	180	78	h	1	2	
946	18	162	60	d	1	2	
947	18	167	59	d	0	4	
948	18	175	62	h	1	2	
949	18	180	80	h	1	3	
950	18	191	89	h	0	4	
951	17	179	75	h	0	2	
952	19	168	60	d	0	2	
953	17	177	69	h	0	3	
954	18	165	64	d	0	2	
955	18	164	63	d	0	2	
956	18	170	67	d	0	2	
957	17	182	83	h	1	3	
958	17	179	70	h	0	3	
959	18	167	60	d	1	2	
960	17	162	64	d	1	2	
961	18	177	69	h	0	4	
962	18	173	73	h	1	1	
963	19	172	66	h	0	4	
964	18	173	65	h	1	4	
965	18	176	58	h	1	3	
966	18	176	64	h	0	4	
967	17	181	80	h	1	1	
968	19	185	72	h	1	4	
969	18	176	56	h	0	2	
970	23	175	70	h	0	3	
971	20	165	63	d	1	1	
972	18	159	45	d	1	1	
973	18	171	45	d	1	3	
974	18	173	62	d	0	2	
975	18	160	55	d	1	4	
976	18	172	53	d	0	2	
977	18	157	42	d	1	2	
978	18	166	52	d	0	4	
979	18	156	51	d	0	2	
980	18	173	55	d	1	2	
981	30	165	55	d	0	4	
982	49	168	72	d	0	3	
983	22	187	75	h	0	4	
984	49	175	71	h	0	4	
985	22	181	81	h	1	2	
986	40	164	60	d	0	3	
987	37	171	65	d	1	3	
988	27	190	86	h	0	4	
989	33	163	70	d	0	4	
990	24	160	61	d	0	4	
991	32	186	83	h	1	1	
992	29	183	76	h	1	2	
993	22	169	60	h	1	1	
994	18	175	69	h	1	3	
995	19	159	50	d	0	4	
996	18	177	73	h	1	3	
997	24	165	56	d	0	2	
998	26	169	59	d	0	4	
999	32	163	57	d	1	1	
1000	37	191	90	h	1	3	
1001	18	180	74	h	0	3	
1002	15	155	40	h	0	3	
1003	21	175	75	h	0	4	
1004	16	173	63	h	1	1	
1005	18	185	75	h	1	2	
1006	19	173	69	h	0	2	
1007	17	171	68	h	0	3	
1008	20	185	80	h	0	2	
1009	25	180	78	h	0	3	
1010	20	169	70	h	0	1	
1011	19	186	74	d	1	2	
1012	17	168	71	d	0	1	
1013	18	173	63	d	0	1	
1014	19	178	70	d	0	4	
1015	21	160	65	d	1	1	
1016	18	172	63	d	0	2	
1017	18	169	67	d	0	4	
1018	18	170	63	d	0	4	
1019	18	170	63	d	0	4	
1020	18	172	64	d	1	2	
1021	18	179	80	d	0	1	
1022	17	167	50	d	0	4	
1023	18	187	84	h	0	1	
1024	18	166	55	d	0	3	
1025	23	170	80	d	1	4	
1026	17	170	49	d	0	2	
1027	18	170	60	h	1	2	
1028	15	165	48	d	0	3	
1029	18	172	65	h	1	4	
1030	18	165	65	h	0	4	
1031	18	168	70	d	0	3	
1032	22	163	58	d	0	3	
1033	17	173	60	d	0	2	
1034	18	190	78	h	0	2	
1035	18	180	75	h	1	2	
1036	18	165	52	d	0	3	
1037	23	193	85	h	0	4	
1038	26	170	72	h	0	4	
1039	27	175	77	h	0	3	
1040	20	185	75	h	0	3	
1041	18	183	77	h	0	4	
1042	20	191	94	h	0	4	
1043	53	180	100	h	0	2	
1044	59	165	65	d	0	3	
1045	89	157	56	d	0	3	
1046	16	160	50	d	0	4	
1047	36	177	80	h	1	4	
1048	35	155	55	d	1	3	
1049	17	169	55	d	0	4	
1050	57	165	81	h	0	3	
1051	53	170	60	d	0	4	
1052	22	168	60	d	0	4	
1053	48	159	72	d	0	3	
1054	17	178	67	h	0	4	
1055	11	154	43	d	0	1	
1056	44	186	92	h	0	3	
1057	42	152	60	d	0	1	
1058	16	158	48	d	1	4	
1059	17	180	70	h	0	4	
1060	20	177	82	h	1	4	
1061	81	155	68	d	0	1	
1062	54	160	58	d	0	1	
1063	55	171	93	h	0	1	
1064	29	163	68	d	0	3	
1065	22	180	80	h	1	2	
1066	36	187	84	h	0	2	
1067	36	175	69	d	1	1	
1068	49	171	70	h	0	1	
1069	47	164	57	d	0	3	
1070	45	176	80	h	0	1	
1071	14	162	52	d	0	1	
1072	17	172	59	h	0	2	
1073	74	153	72	d	0	1	
1074	73	172	63	h	0	1	
1075	57	158	53	d	1	1	
1076	59	169	68	h	1	1	
1077	44	166	77	h	1	2	
1078	58	171	67	h	0	1	
1079	21	170	64	h	0	4	
1080	31	182	77	h	1	1	
1081	20	195	95	h	0	4	
1082	20	179	61	h	0	4	
1083	20	183	95	h	0	2	
1084	20	174	81	h	0	4	
1085	19	180	70	h	0	4	
1086	20	173	60	h	0	2	
1087	21	157	54	d	0	3	
1088	22	163	48	d	1	2	
1089	20	164	65	d	0	3	
1090	20	181	67	h	0	2	
1091	18	176	70	h	0	4	
1092	20	164	56	d	0	3	
1093	17	170	60	h	0	2	
1094	18	167	52	d	0	1	
1095	20	157	50	d	0	4	
1096	18	180	63	h	0	2	
1097	18	178	60	h	0	2	
1098	21	164	56	d	0	4	
1099	21	171	54	d	0	4	
1100	18	180	60	d	1	4	
1101	18	168	64	d	1	3	
1102	21	160	59	d	0	4	
1103	18	156	72	d	0	3	
1104	18	167	50	d	1	4	
1105	18	165	63	d	1	3	
1106	18	160	65	d	0	4	
1107	18	165	60	d	0	4	
1108	18	170	36	d	0	3	
1109	25	170	75	h	0	2	
1110	22	190	80	h	1	2	
1111	23	188	78	h	0	3	
1112	24	170	79	h	0	4	
1113	45	162	63	d	0	1	
1114	49	170	78	h	0	1	
1115	24	172	62	d	1	3	
1116	18	172	70	h	1	4	
1117	55	163	60	d	0	3	
1118	54	170	70	h	0	4	
1119	26	168	70	h	1	2	
1120	22	152	55	d	0	2	
1121	18	176	60	h	0	1	
1122	18	162	60	d	1	2	
1123	18	179	64	h	0	3	
1124	18	180	63	h	1	2	
1125	19	165	75	d	0	2	
1126	19	170	75	h	0	2	
1127	18	180	80	h	0	2	
1128	18	190	90	h	0	4	
1129	22	170	87	h	1	2	
1130	32	172	74	d	1	3	
1131	50	171	70	d	1	4	
1132	48	180	80	h	0	2	
1133	17	160	60	d	1	1	
1134	18	152	52	d	1	4	
1135	18	181	70	h	0	1	
1136	18	170	60	d	0	2	
1137	17	182	76	d	0	2	
1138	29	176	90	h	0	3	
1139	16	180	80	h	1	2	
1140	22	160	79	d	0	1	
1141	16	185	72	h	0	2	
1142	16	159	58	d	0	2	
1143	18	169	61,5	d	0	4	
1144	15	160	45	h	0	2	
1145	17	160	56	d	0	2	
1146	18	165	61	d	0	3	
1147	17	160	45	d	0	3	
1148	17	175	73	h	0	4	
1149	17	175	64	d	0	4	
1150	19	164	66	d	0	3	
1151	17	160	55	d	0	4	
1152	19	158	50	d	1	2	
1153	18	156	50	d	0	3	
1154	21	178	75	h	1	4	
1155	18	160	45	d	0	3	
1156	20	180	85	h	0	3	
1157	19	170	58	d	1	2	
1158	24	180	70	h	0	1	
1159	18	170	73	d	1	2	
1160	16	175	70	h	1	3	
1161	18	164	52	d	0	3	
1162	18	171	59	d	0	3	
1163	18	165	80	d	1	3	
1164	18	173	61	h	0	3	
1165	17	170	54	d	0	3	
1166	16	168	65	h	0	2	
1167	18	174	63	h	0	4	
1168	18	176	67	d	0	1	
1169	18	170	65	d	1	3	
1170	17	169	53	d	1	1	
1171	18	161	50	d	1	2	
1172	19	159	48	d	1	2	
1173	18	171	55	d	1	3	
1174	18	176	65	h	0	4	
1175	19	177	52	h	0	3	
1176	19	175	72	h	0	2	
1177	17	166	55	d	0	3	
1178	18	167	50	d	1	3	
1179	18	163	56	h	0	3	
1180	18	163	51	d	1	1	
1181	18	175	54	d	0	3	
1182	17	169	57	d	0	1	
1183	17	172	50	d	0	1	
1184	17	160	54	d	0	2	
1185	19	183	76	h	0	2	
1186	19	169	63	d	0	2	
1187	17	173	45	d	0	2	
1188	18	180	77	h	0	4	
1189	16	182	60	h	1	2	
1190	16	178	63	h	1	2	
1191	17	158	43	d	0	2	
1192	19	185	80	h	0	1	
1193	19	185	73	h	0	4	
1194	21	170	67	d	0	2	
1195	21	168	70	d	0	2	
1196	23	180	75	h	0	3	
1197	18	179	65	h	0	4	
1198	17	189	79	h	1	4	
1199	18	187	76	h	1	4	
1200	17	163	59	d	0	2	
1201	55	167	66	h	0	4	
1202	49	171	76	d	0	2	
1203	18	180	75	h	0	4	
1204	18	158	45	d	0	1	
1205	21	160	50	d	0	2	
1206	16	159	50	d	0	1	
1207	71	151	53	d	0	1	
1208	18	172	62	d	0	4	
1209	18	160	64	d	0	1	
1210	19	178	65	h	0	2	
1211	54	160	60	h	0	1	
1212	44	161	63	d	0	1	
1213	27	150	50	d	0	3	
1214	27	165	64	h	0	4	
1215	18	180	80	h	0	4	
1216	18	185	72	h	1	4	
1217	22	177	85	h	0	4	
1218	18	183	75	h	0	4	
1219	19	175	90	h	1	4	
1220	18	186	80	h	0	4	
1221	18	178	75	h	0	2	
1222	18	176	62	h	0	2	
1223	18	153	48	d	1	3	
1224	18	177	65	h	1	2	
1225	18	178	78	h	0	2	
1226	50	168	60	d	0	4	
1227	18	174	62	d	0	2	
1228	18	155	53	d	1	2	
1229	18	153	50	d	0	1	
1230	18	175	64	d	1	2	
1231	18	177	60	h	0	3	
1232	18	178	87	h	0	2	
1233	40	184	100	h	0	2	
1234	27	190	110	h	1	4	
1235	18	179	70	h	0	2	
1236	18	178	65	h	1	3	
1237	19	172	76	h	1	1	
1238	20	173	56	h	1	4	
1239	18	169	73	d	1	3	
1240	20	179	79	h	1	2	
1241	17	163	60	d	0	2	
1242	18	157	50	d	0	2	
1243	18	170	68	h	0	3	
1244	17	155	52	d	0	1	
1245	18	168	65	h	0	3	
1246	17	185	70	h	0	3	
1247	18	170	57	d	0	2	
1248	18	167	51	d	0	3	
1249	18	168	68	d	0	4	
1250	18	150	38	d	0	1	
1251	18	177	68	h	1	4	
1252	17	175	78	h	0	2	
1253	17	184	70	h	0	3	
1254	17	152	51	d	0	3	
1255	17	173	57	h	0	3	
1256	18	167	47	d	0	3	
1257	18	180	76	h	0	4	
1258	18	190	95	h	1	3	
1259	18	170	70	d	1	3	
1260	18	175	76	h	0	4	
1261	19	170	72	d	0	1	
1262	19	170	65	h	1	3	
1263	30	175	70	h	1	3	
1264	20	155	56	d	0	3	
1265	19	158	56	d	1	3	
1266	24	163	57	d	1	3	
1267	47	154	55	d	1	1	
1268	33	170	64	h	1	4	
1269	41	160	60	d	1	3	
1270	27	167	53	d	0	3	
1271	35	169	71	h	1	3	
1272	19	168	64	h	1	2	
1273	23	170	72	d	1	4	
1274	17	176	64	d	0	1	
1275	45	158	67	d	0	2	
1276	19	175	65	h	0	3	
1277	52	165	72	d	1	3	
1278	51	178	70	h	1	2	
1279	19	155	60	d	0	1	
1280	59	153	68	d	0	3	
1281	18	178	70	h	0	2	
1282	18	166	58	d	1	2	
1283	17	160	59	d	0	2	
1284	18	183	70	h	0	4	
1285	18	165	55	d	1	3	
1286	16	162	60	d	1	2	
1287	20	175	70	h	1	1	
1288	21	180	72	h	0	1	
1289	18	170	68	h	0	4	
1290	17	185	70	h	0	1	
1291	16	167	54	d	1	2	
1292	17	190	75	h	0	3	
1293	18	179	70	h	0	4	
1294	18	167	60	d	0	4	
1295	18	163	68	d	0	3	
1296	18	170	58	d	1	3	
1297	17	170	80	h	1	1	
1298	20	165	70	d	1	3	
1299	18	158	58	d	1	2	
1300	19	165	60	d	0	4	
1301	18	165	52	d	1	3	
1302	18	170	56	h	1	3	
1303	18	175	62	h	1	4	
1304	19	160	50	d	1	3	
1305	16	170	58	h	1	2	
1306	47	166	50	d	0	3	
1307	18	170	55	h	1	3	
1308	18	162	52	d	0	3	
1309	18	190	78	h	0	4	
1310	15	162	51	d	0	4	
1311	18	172	73	h	0	2	
1312	17	166	60	d	1	4	
1313	16	169	48	d	1	4	
1314	18	171	58	d	0	2	
1315	19	165	52	d	0	3	
1316	18	190	100	h	1	3	
1317	19	166	65	d	1	3	
1318	18	181	63	h	0	3	
1319	18	179	72	h	1	4	
1320	15	162	45	d	1	2	
1321	18	163	46	d	0	2	
1322	53	160	50	d	0	3	
1323	58	154	54	d	0	3	
1324	16	155	43	d	0	2	
1325	61	167	71	h	0	2	
1326	21	169	60	h	0	4	
1327	16	170	57	d	0	2	
1328	17	168	55	h	0	4	
1329	15	153	42	h	0	3	
1330	16	155	51	h	0	2	
1331	17	157	60	d	0	3	
1332	18	174	55	d	0	4	
1333	17	156	43	d	0	4	
1334	18	157	63	d	0	1	
1335	22	185	67	h	0	2	
1336	19	185	69	h	0	4	
1337	16	160	45	d	0	3	
1338	18	165	54	d	1	3	
1339	20	174	58	h	0	4	
1340	20	160	56	d	0	2	
1341	17	158	50	d	0	1	
1342	17	167	66	d	0	2	
1343	18	162	50	d	0	4	
1344	18	156	46	d	0	3	
1345	18	157	42	d	0	3	
1346	19	170	72	d	0	3	
1347	18	164	56	d	0	2	
1348	18	160	53	d	0	2	
1349	50	160	69	d	0	3	
1350	15	165	70	h	0	1	
1351	54	170	86	h	0	3	
1352	19	173	49	d	0	3	
1353	19	168	66	h	0	3	
1354	37	178	74	h	1	2	
1355	37	166	56	d	1	2	
1356	39	186	86	h	1	4	
1357	79	170	100	h	0	1	
1358	77	156	59	d	0	3	
1359	49	187	91	h	0	4	
1360	18	170	59	d	1	3	
1361	18	156	46	d	0	1	
1362	18	173	63	d	0	4	
1363	18	177	75	h	0	3	
1364	18	169	75	d	0	3	
1365	18	155	55	d	0	3	
1366	17	189	64	h	0	3	
1367	18	180	60	h	0	1	
1368	18	183	66	h	0	1	
1369	20	168	56	d	1	3	
1370	18	172	65	d	0	3	
1371	18	185	78	h	1	4	
1372	19	177	76	h	1	4	
1373	19	173	70	h	1	3	
1374	19	175	75	h	0	3	
1375	20	173	70	h	0	1	
1376	18	163	60	d	0	3	
1377	18	168	53	d	1	2	
1378	19	155	54	d	0	3	
1379	18	160	54	d	0	3	
1380	18	158	50	d	1	1	
1381	18	159	54	d	0	3	
1382	18	172	60	h	1	2	
1383	17	161	40	d	1	2	
1384	18	160	50	d	1	1	
1385	19	180	80	h	0	4	
1386	19	162	46	d	1	3	
1387	18	175	72	h	1	2	
1388	21	181	72	h	0	4	
1389	20	168	65	h	0	3	
1390	18	184	65	h	0	3	
1391	18	163	55	d	0	3	
1392	19	170	58	h	1	3	
1393	21	174	75	h	0	2	
1394	19	175	64,5	h	0	2	
1395	18	165	56	d	1	3	
1396	18	153	52	d	0	3	
1397	18	162	53	d	0	2	
1398	20	168	58	d	1	4	
1399	18	169	55	d	1	3	
1400	17	172	65	h	1	4	
1401	18	163	53	d	1	2	
1402	23	174	60	h	0	4	
1403	24	157	52	d	1	1	
1404	22	169	68	h	1	4	
1405	20	158	50	d	1	1	
1406	24	150	44	d	0	3	
1407	19	163	54	d	0	1	
1408	19	159	58	d	0	3	
1409	20	161	46	d	0	2	
1410	18	157	49	d	0	2	
1411	18	156	46	d	1	4	
1412	22	173	68	h	0	4	
1413	22	185	70	h	0	2	
1414	16	160	52	d	0	1	
1415	17	158	57	d	1	2	
1416	17	178	58	h	1	4	
1417	20	180	70	h	1	3	
1418	32	160	53	d	1	2	
1419	30	168	64	h	1	1	
1420	23	168	58	d	0	1	
1421	18	150	40	d	0	2	
1422	17	176	57	d	1	3	
1423	14	165	54	d	1	2	
1424	19	172	57	d	1	3	
1425	19	162	48	d	0	3	
1426	17	165	74	d	0	4	
1427	18	165	60	d	1	4	
1428	19	170	50	d	0	4	
1429	19	168	60	d	1	1	
1430	18	173	59	d	1	2	
1431	17	167	68	d	0	1	
1432	16	175	48	d	1	2	
1433	19	172	60	d	0	4	
1434	25	182	76	h	1	2	
1435	18	170	47	h	1	3	
1436	25	188	88	h	1	2	
1437	28	185	86	h	1	4	
1438	18	170	53	h	0	3	
1439	19	183	63	h	1	3	
1440	17	176	61	h	0	3	
1441	22	170	55	d	1	3	
1442	21	180	65	h	1	3	
1443	32	185	70	h	1	3	
1444	17	170	58	h	1	4	
1445	21	179	69	h	1	4	
1446	17	170	75	h	1	4	
1447	18	173	57	h	1	4	
1448	25	174	72	h	1	3	
1449	25	194	80	h	1	4	
1450	22	165	66	h	1	2	
1451	19	179	80	h	0	3	
1452	25	170	65	h	1	4	
1453	16	170	57	h	1	4	
1454	17	170	62	h	1	4	
1455	59	171	68	h	1	3	
1456	19	157	50	d	1	3	
1457	24	180	74	h	1	3	
1458	18	174	65	h	0	3	
1459	21	160	60	d	1	3	
1460	32	183	67	h	1	2	
1461	47	172	72	d	1	1	
1462	12	152	48	d	0	3	
1463	17	168	62	d	1	2	
1464	18	172	60	d	0	4	
1465	18	162	54	d	0	2	
1466	37	169	68	d	1	3	
1467	17	166	58	d	1	1	
1468	19	158	47	d	1	1	
1469	14	181	86	h	0	2	
1470	18	180	74	h	0	1	
1471	18	172	65	h	1	2	
1472	19	191	80	h	1	3	
1473	19	179	76	h	1	4	
1474	20	180	82	h	0	2	
1475	22	184	83	h	1	1	
1476	18	178	76	h	0	3	
1477	18	172	63	h	1	3	
1478	19	175	68	h	1	2	
1479	20	180	75	h	1	4	
1480	36	182	80	h	1	4	
1481	47	172	72	d	1	1	
1482	12	152	48	d	0	3	
1483	17	168	62	d	1	2	
1484	18	172	60	d	0	4	
1485	18	162	54	d	0	2	
1486	37	169	68	d	1	3	
1487	17	166	58	d	1	1	
1488	19	158	47	d	1	1	
1489	14	181	86	h	0	2	
1490	18	180	74	h	0	1	
1491	18	172	65	h	1	2	
1492	19	191	80	h	1	3	
1493	19	179	76	h	1	4	
1494	20	180	82	h	0	2	
1495	22	184	83	h	1	1	
1496	18	178	76	h	0	3	
1497	18	172	63	h	1	3	
1498	19	175	68	h	1	2	
1499	20	180	75	h	1	4	
1500	36	182	80	h	1	4	
1501	18	184	61	h	0	4	
1502	15	169	50	h	0	2	
1503	45	175	72	h	0	4	
1504	45	170	65	d	0	4	
1505	65	165	70	h	0	1	
1506	30	181	84	h	0	4	
1507	42	175	85	h	0	1	
1508	28	178	69	h	1	2	
1509	20	180	78	h	0	4	
1510	51	177	75	d	1	1	
1511	19	176	76	d	0	2	
1512	16	162	48	d	1	2	
1513	26	179	70	h	0	1	
1514	21	171	76	d	1	2	
1515	21	151	47	d	0	1	
1516	43	160	55	h	1	3	
1517	19	180	85	d	0	4	
1518	20	163	59	h	1	2	
1519	17	172	65	d	1	2	
1520	43	170	63	h	0	3	
1521	21	172	60	d	0	2	
1522	18	173	65	d	0	4	
1523	50	179	80	h	0	4	
1524	13	167	48	h	0	1	
1525	46	175	72	d	0	3	
1526	18	180	68	h	0	4	
1527	18	179	65	d	1	2	
1528	16	165	55	d	0	2	
1529	18	165	52	d	0	2	
1530	19	179	63	h	0	4	
1531	18	179	68	h	0	4	
1532	17	172	58	h	0	2	
1533	21	160	41	h	0	2	
1534	18	172	65	d	1	3	
1535	18	162	51	d	1	2	
1536	18	156	46	d	0	4	
1537	18	175	90	h	1	4	
1538	18	168	58	d	1	2	
1539	21	176	62	h	1	4	
1540	21	183	75	h	1	4	
1541	26	170	67	h	0	2	
1542	24	178	60	h	0	2	
1543	26	175	105	h	0	2	
1544	25	183	74	h	0	2	
1545	21	157	42	h	0	2	
1546	19	155	50	d	0	2	
1547	20	176	63	h	1	2	
1548	18	162	53	d	0	3	
1549	26	162	60	d	0	1	
1550	22	190	70	h	0	3	
1551	24	190	78	h	0	4	
1552	19	187	72	h	1	3	
1553	20	169	60	d	0	1	
1554	17	164	59	h	0	4	
1555	28	161	53	d	0	3	
1556	53	157	56	d	1	3	
1557	56	162	65	h	1	3	
1558	26	167	66	h	0	2	
1559	28	171	61	h	1	4	
1560	20	163	44	d	1	3	
1561	49	170	77	h	1	4	
1562	49	160	60	d	1	3	
1563	30	177	110	h	0	2	
1564	18	160	58	d	0	4	
1565	27	164	58	d	1	4	
1566	9	139	29	d	0	4	
1567	22	183	80	h	1	4	
1568	50	157	70	d	0	1	
1569	54	170	87	h	0	1	
1570	40	176	80	d	1	2	
1571	42	167	60	h	1	1	
1572	42	170	70	h	0	4	
1573	22	172	60	h	0	4	
1574	20	162	57	d	0	4	
1575	7	130	22	h	0	1	
1576	81	175	70	h	0	1	
1577	80	150	52	d	0	3	
1578	20	160	57	d	0	2	
1579	26	162	56	d	1	2	
1580	28	168	76	h	1	3	
1581	18	162	56	d	1	3	
1582	15	170	53	d	0	2	
1583	19	173	59	d	1	3	
1584	20	172	55	d	0	3	
1585	20	175	74	h	1	4	
1586	20	176	73	h	1	3	
1587	21	178	73	h	1	4	
1588	20	172	68	h	1	4	
1589	15	158	48	d	0	2	
1590	16	166	54	d	0	4	
1591	20	164	57	d	0	3	
1592	21	167	55	d	1	3	
1593	23	177	75	h	0	2	
1594	18	160	51	d	1	1	
1595	21	159	52	d	1	1	
1596	24	174	68	d	0	2	
1597	23	168	56	d	1	4	
1598	24	182	77	h	0	4	
1599	22	180	82	h	1	1	
1600	21	177	72	h	1	4	
1601	17	168	58	d	0	3	
1602	18	175	80	h	0	4	
1603	19	160	55	d	0	3	
1604	17	183	75	h	0	4	
1605	18	170	69	d	1	3	
1606	19	173	46	d	0	3	
1607	18	160	64	d	0	1	
1608	19	185	86	h	0	2	
1609	18	183	85	h	0	3	
1610	17	170	69	d	0	3	
1611	18	190	90	h	1	3	
1612	17	164	58	d	0	3	
1613	17	180	65	h	0	2	
1614	19	169	60	d	0	1	
1615	18	184	74	h	0	4	
1616	18	181	72	h	1	1	
1617	18	155	50	d	0	1	
1618	18	163	53	d	1	3	
1619	18	184	75	h	1	4	
1620	19	166	60	d	1	3	
1621	18	173	67	d	0	4	
1622	17	193	86	h	0	4	
1623	17	163	52	d	0	4	
1624	22	160	52	d	0	2	
1625	57	193	113	h	0	1	
1626	47	157	68	d	0	3	
1627	52	172	74	d	1	1	
1628	79	173	79	d	0	1	
1629	77	175	85	h	0	1	
1630	18	161	54	d	0	2	
1631	18	159	55	d	1	1	
1632	17	170	62	d	0	2	
1633	17	186	79	h	0	4	
1634	18	164	53	d	0	3	
1635	18	181	70	h	0	4	
1636	18	178	68	h	0	3	
1637	19	165	60	d	1	2	
1638	46	162	67	d	1	1	
1639	48	179	84	h	1	1	
1640	19	169	68	d	0	4	
1641	18	184	79	h	0	4	
1642	18	194	80	h	0	3	
1643	18	184	120	h	0	1	
1644	15	165	55	h	0	2	
1645	14	157	45	d	0	3	
1646	17	162	67	d	1	4	
1647	21	173	75	h	1	1	
1648	19	182	77	h	1	2	
1649	18	190	80	h	0	3	
1650	17	162	60	d	0	1	
1651	18	170	70	h	1	1	
1652	19	172	65	d	1	2	
1653	25	166	72	d	0	2	
1654	24	180	89	h	1	3	
1655	30	179	100	h	1	4	
1656	16	169	67	d	0	2	
1657	15	162	64	d	0	3	
1658	14	150	55	d	0	3	
1659	18	176	72	h	0	2	
1660	19	182	77	h	1	1	
1661	18	158	60	d	0	3	
1662	43	160	71	d	0	3	
1663	67	153	80	d	0	1	
1664	14	165	49	d	0	2	
1665	18	178	75	d	0	2	
1666	36	171	65	d	0	3	
1667	50	161	73	d	1	1	
1668	48	170	62	d	0	3	
1669	83	163	75	d	0	1	
1670	30	163	58	d	0	1	
1671	73	175	70	h	0	4	
1672	18	180	65	h	0	2	
1673	14	163	58	h	0	2	
1674	48	173	90	h	1	3	
1675	17	190	80	h	1	4	
1676	54	175	71	h	0	3	
1677	32	183	75	h	0	4	
1678	51	171	99	h	1	2	
1679	81	170	80	h	1	1	
1680	70	155	65	h	1	4	
1681	17	180	55	h	0	2	
1682	17	160	52	d	0	4	
1683	18	176	70	h	0	3	
1684	18	156	56	d	1	3	
1685	18	160	54	d	0	1	
1686	18	165	62	d	1	3	
1687	18	165	60	d	0	3	
1688	17	195	67	h	0	2	
1689	17	167	63	h	0	4	
1690	18	182	64	h	0	3	
1691	22	164	56	d	0	3	
1692	18	177	64	h	0	3	
1693	18	168	69	d	0	3	
1694	25	188	125	h	1	3	
1695	21	160	57	d	1	3	
1696	33	165	76	d	1	2	
1697	21	188	80	h	0	4	
1698	18	181	67	h	0	4	
1699	18	184	63	h	1	2	
1700	18	173	67	h	0	3	
1701	18	178	75	d	0	2	
1702	15	162	51	d	0	1	
1703	47	165	80	d	1	3	
1704	53	175	76	h	1	1	
1705	18	160	55	d	0	3	
1706	80	158	63	d	0	1	
1707	79	177	95	h	0	3	
1708	33	172	85	d	0	3	
1709	18	170	60	d	0	3	
1710	18	167	55	d	0	3	
1711	18	176	70	h	1	2	
1712	18	189	77	h	1	2	
1713	18	160	66	d	0	1	
1714	18	162	62	d	0	3	
1715	18	165	52	d	0	3	
1716	18	169	65	d	0	1	
1717	18	165	62	d	0	3	
1718	86	170	80	h	0	3	
1719	78	155	62	d	0	1	
1720	16	157	45	d	0	2	
1721	18	183	90	h	0	3	
1722	18	185	70	h	0	4	
1723	17	179	72	h	1	2	
1724	18	182	78	h	0	2	
1725	17	176	70	h	0	4	
1726	17	160	70	d	1	1	
1727	18	163	68	h	1	4	
1728	19	170	80	h	1	4	
1729	18	180	76	h	1	4	
1730	18	170	65	d	0	4	
1731	17	169	64	d	1	3	
1732	18	173	66	d	1	3	
1733	18	188	82	h	0	4	
1734	18	167	67	d	1	2	
1735	18	159	58	d	0	2	
1736	18	170	64	d	1	1	
1737	18	167	60	d	0	1	
1738	18	185	80	h	0	2	
1739	18	167	60	h	0	2	
1740	18	177	88	h	1	1	
1741	20	164	55	d	0	3	
1742	21	183	89	h	1	4	
1743	22	172	59	d	1	3	
1744	48	177	78	h	1	4	
1745	47	154	54	d	0	3	
1746	14	170	67	h	0	4	
1747	18	158	55	d	0	2	
1748	18	173	60	d	0	2	
1749	18	167	52	d	0	1	
1750	19	161	62	d	1	2	
1751	17	171	57	d	0	2	
1752	18	178	74	h	0	4	
1753	17	158	47	d	0	2	
1754	18	180	65	h	0	4	
1755	22	158	60	d	1	3	
1756	17	186	69	h	1	4	
1757	22	170	60	d	0	3	
1758	27	170	56	d	1	3	
1759	16	165	55	d	1	3	
1760	17	165	57	d	0	4	
1761	18	175	57	d	0	3	
1762	50	170	78	d	0	4	
1763	51	186	95	h	0	2	
1764	30	181	76	h	0	4	
1765	27	172	78	h	0	4	
1766	21	174	78	h	0	4	
1767	18	164	68	d	0	4	
1768	21	174	65	d	0	1	
1769	20	180	64,8	d	0	3	
1770	16	175	53	h	0	4	
1771	18	182	69	h	0	3	
1772	18	155	72	h	0	3	
1773	27	180	73	h	0	4	
1774	21	149	54	d	1	2	
1775	29	185	86	h	1	4	
1776	18	167	59	d	1	3	
1777	21	180	77	h	0	4	
1778	18	150	62	d	0	3	
1779	18	172	60	d	1	2	
1780	18	164	54	d	0	4	
1781	18	175	64	h	1	3	
1782	17	186	74	h	0	4	
1783	18	183	75	h	1	2	
1784	18	158	53	d	0	3	
1785	17	174	65	h	0	4	
1786	19	154	78	h	1	3	
1787	18	172	74	d	1	2	
1788	18	164	65	h	0	4	
1789	18	156	58	d	1	1	
1790	17	171	61	h	0	1	
1791	17	164	60	h	0	4	
1792	17	172	65	d	0	3	
1793	18	177	70	d	1	2	
1794	17	170	62	d	1	2	
1795	17	164	52	d	1	1	
1796	18	177	59	d	0	1	
1797	18	175	56	h	1	1	
1798	18	177	64	h	1	4	
1799	18	180	71	h	0	4	
1800	19	164	72	h	1	3	
1801	18	184	78	d	0	3	
1802	18	161	45	d	0	2	
1803	18	156	62	d	0	3	
