"id","sitlab","ecivil","edadboda","hermanos","hijos","edad","mesnaz","zodiaco","educ","titestud","titpadre","titmadre","sexo","raza","ingfam91","ingper91","región","dimhabit","tamaño","partido","voto92","tendpol","penacap","leyarmas","legdroga","relig","vida","hijosidl","píldora","educsex","cachete","eutan","periódic","horastv","banda","country","counwest","blues","musical","clásica","folk","jazz","opera","rap","hvymetal","deportes","museos","telenov","telenoti","espectv","ciencias","amantes","frecsex","casaprop","indsocec","cohorte","ingreso4","titestu2","edadcat4","política","región4","casado2","clasica3","jazz3","rap3","blues3"
"64",67,"A tiempo completo","Casado",23,1,"3",46,"Agosto","Virgo",20,"Licenciado","Elemental",NA,"Hombre","Blanca","$75000+","$75000+","Nor-Este central","Ciudad > 250000",3006,"Demócrata","Ha votado","Liberal","En Contra","A Favor",NA,"Protestante","Excitante","3","Completamenete de Acuerdo","A Favor","De Acuerdo","Sí","Diariamente",1,"Me gusta","Me gusta","Me gusta","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Sí","Sí","Raramente","Diariamente","Diariamente","Completamente falso","1 Compañero","2-3 veces al mes","Casa propia","92,3",1947,"60,000 o más","Bachiller","40-49","Liberal","Centro Oeste","Sí","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta"
"65",68,"A tiempo completo","Soltero",NA,1,"0",23,"Marzo","Aries",16,"Diploma universitario","Licenciado","Licenciado","Mujer","Blanca","$75000+","$25000-29999","Nor-Este central","Ciudad > 250000",3006,"Republicano","Ha votado","Ligeramente liberal","A Favor","A Favor",NA,"Católico","Excitante","2","Completamenete de Acuerdo","A Favor","En Desacuerdo","Sí","Diariamente",1,"No me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta a ratos","Me gusta","No me gusta","Me gusta","Me gusta a ratos","Me gusta a ratos","No me gusta","Sí","Sí","Varios días al mes","Varios días al mes","Raramente","Completamente cierto","1 Compañero","4+ veces a la semana","Casa propia","60,4",1970,"60,000 o más","Bachiller","18-29","Tendencia liberal","Centro Oeste","No","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"66",69,"A tiempo parcial","Casado",22,1,"2",37,"Septiembre","Libra",16,"Diploma universitario","Medio","Medio","Mujer","Blanca","$75000+","$10000-12499","Nor-Este central","Ciudad > 250000",3006,"Demócrata Militante","Ha votado","Liberal","En Contra","A Favor",NA,"Católico","Excitante","2","De Acuerdo","A Favor","En Desacuerdo","No","Diariamente",2,"Me gusta","Me gusta a ratos","Me gusta mucho","No me gusta","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me gusta a ratos","No me gusta","No me gusta","Me disgusta","Sí","Sí","Varios días a la semana","Varios días a la semana","Varios días a la semana","Probablemente cierto","2 Compañeros","Una vez al mes","Casa propia","64,2",1956,"60,000 o más","Bachiller","30-39","Liberal","Centro Oeste","Sí","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me disgusta"
"67",70,"A tiempo completo","Soltero",NA,3,"0",27,"Junio","Cáncer",13,"Medio","Medio","Medio","Hombre","Blanca","$50000-59999","$35000-39999","Nor-Este central","Suburbio, Ciudad grande",43,"Simpatizante Demócrata","No ha votado","Ligeramente conservador","A Favor","A Favor","A Favor","Católico","Rutinaria",NA,NA,NA,NA,NA,NA,3,"No me gusta","Me gusta","Me gusta a ratos","Me gusta mucho","No me gusta","Me gusta a ratos","No me gusta","Me gusta a ratos","No me gusta","No me gusta","No me gusta","Sí","No","Diariamente","Diariamente","Varios días a la semana","Probablemente falso","1 Compañero","2-3 veces al mes",NA,"48,9",1966,"40,000 - 59,999","Sin Bachillerato","18-29","Tendencia conservadora","Centro Oeste","No","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me gusta"
"68",71,"A tiempo completo","Soltero",NA,3,"0",23,"Agosto","Leo",16,"Diploma universitario",NA,"Medio","Mujer","Blanca","$35000-39999","$4000-4999","Nor-Este central","Suburbio, Ciudad grande",43,"Demócrata","Ha votado","Liberal","A Favor","A Favor",NA,"Católico","Excitante","3","De Acuerdo","A Favor","En Desacuerdo","Sí","Varios días a la semana",1,"Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","No me gusta","Me gusta a ratos","Me gusta a ratos","Sí","Sí","Varios días al mes","Varios días a la semana","Raramente","Probablemente cierto","2 Compañeros","Una vez al mes","Casa propia","34,8",1970,"25,000 - 39,999","Bachiller","18-29","Liberal","Centro Oeste","No","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos"
"69",72,"A tiempo completo","Casado",22,2,"2",31,"Mayo","Géminis",16,"Diploma universitario","Diploma universitario","Bachillerato","Hombre","Blanca","$35000-39999","$22500-24999","Nor-Este central","Suburbio, Ciudad grande",43,"Republicano Militante","Ha votado","Ligeramente conservador","A Favor","A Favor","A Favor","Protestante","Excitante",NA,NA,NA,NA,NA,NA,1,"Me gusta","Me gusta a ratos","No me gusta","Me gusta mucho","Me disgusta","Me gusta mucho","Me gusta","Me gusta mucho",NA,"Me gusta a ratos","Me gusta","Sí","Sí","Varios días a la semana","Diariamente","Varios días a la semana","Probablemente cierto",NA,NA,NA,"81",1962,"25,000 - 39,999","Bachiller","30-39","Tendencia conservadora","Centro Oeste","Sí","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"70",73,"Ama de casa","Casado",24,2,"2",30,"Abril","Aries",14,"Bachillerato","Medio","Medio","Mujer","Blanca","$50000-59999",NA,"Nor-Este central","Suburbio, Ciudad grande",43,"Republicano","Ha votado","Moderado","A Favor","A Favor",NA,"Protestante","Rutinaria","2","Completamenete de Acuerdo","A Favor","Completamente en Desacuerdo","Sí","Una vez a la semana",2,"Me gusta","Me gusta a ratos","Me gusta mucho","Me gusta","No me gusta","Me gusta","Me disgusta","Me gusta","Me gusta","Me gusta a ratos","Me disgusta","No","No","Varios días a la semana","Diariamente","Varios días al mes",NA,"1 Compañero","2-3 veces al mes","Casa propia","39,6",1963,"40,000 - 59,999","Sin Bachillerato","30-39","Moderado","Centro Oeste","Sí","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"71",74,"Retirado","Casado",22,3,"3",77,"Agosto","Leo",16,"Diploma universitario","Elemental","Elemental","Hombre","Blanca","$50000-59999",NA,"Nor-Este central","Suburbio, Ciudad grande",43,"Republicano Militante","Ha votado","Conservador","A Favor","A Favor",NA,"Protestante","Rutinaria","2","En Desacuerdo","A Favor","De Acuerdo","Sí","Diariamente",4,"Me gusta mucho","Me gusta a ratos","Me gusta a ratos",NA,"Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta a ratos",NA,"Me disgusta","Sí","No","Varios días a la semana","Diariamente","Varios días a la semana","Probablemente cierto","1 Compañero","Ninguna","Casa propia","87,9",1916,"40,000 - 59,999","Bachiller","50+","Conservador","Centro Oeste","Sí","Me gusta","Me gusta",NA,NA
"72",75,"A tiempo parcial","Casado",23,2,"3",41,"Noviembre","Escorpio",13,"Medio","Elemental",NA,"Hombre","Negra","$50000-59999","$17500-19999","Atlántico central","Ciudad > 250000",1688,"Independiente","Ha votado","Decididamente conservador","A Favor","A Favor","En Contra","Protestante","Excitante",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,"Me gusta mucho","Me gusta",NA,NA,"Me gusta mucho",NA,"Me gusta",NA,"Sí","Sí","Varios días a la semana","Diariamente","Varios días a la semana","Completamente falso","1 Compañero","2-3 veces a la semana",NA,"51",1952,"40,000 - 59,999","Sin Bachillerato","40-49","Conservador","Nor-Este","Sí",NA,"Me gusta","Me gusta","Me gusta"
"73",76,"A tiempo parcial","Viudo",35,3,"0",70,"Abril","Aries",12,"Elemental",NA,"Elemental","Mujer","Negra","$12500-14999","$10000-12499","Atlántico central","Ciudad > 250000",1688,"Demócrata Militante","Ha votado","Moderado","A Favor","A Favor","En Contra","Protestante","Excitante",NA,NA,NA,NA,NA,NA,4,"Me gusta mucho","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta",NA,"Me gusta a ratos",NA,"Me gusta a ratos","Me gusta a ratos","Me disgusta","No","No","Varios días a la semana","Diariamente","Varios días al mes",NA,"Ninguno","Ninguna",NA,"29,3",1923,"24,999 o menos","Sin Bachillerato","50+","Moderado","Nor-Este","No",NA,NA,"Me gusta a ratos","Me gusta"
"74",77,"Retirado","Viudo",25,5,"1",81,"Noviembre","Escorpio",8,"Elemental","Elemental",NA,"Hombre","Negra","$15000-17499",NA,"Atlántico central","Ciudad > 250000",1688,"Demócrata","Ha votado","Decididamente conservador","A Favor",NA,"En Contra","Protestante",NA,"2","Completamenete de Acuerdo","A Favor",NA,"No","Diariamente",1,"Me gusta mucho","No me gusta","Me gusta","Me gusta mucho","Me gusta a ratos","Me gusta","No me gusta","Me gusta","Me gusta mucho","Me disgusta","Me disgusta","Sí","Sí","Varios días a la semana","Diariamente","Varios días a la semana","Probablemente falso","Ninguno","Ninguna","Casa propia",NA,1912,"24,999 o menos","Sin Bachillerato","50+","Conservador","Nor-Este","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"75",78,"Desempleado, despedido","Casado",25,8,"3",41,"Diciembre","Sagitario",12,"Medio","Medio","Medio","Hombre","Negra","$35000-39999","$12500-14999","Atlántico central","Ciudad > 250000",1688,"Demócrata","Ha votado","Moderado","A Favor",NA,"En Contra","Otra",NA,"3","En Desacuerdo","A Favor","En Desacuerdo","No","Varios días a la semana",10,"Me gusta a ratos","No me gusta","No me gusta","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta a ratos","Me gusta a ratos","No me gusta","Sí","No","Varios días a la semana","Varios días a la semana","Varios días a la semana","Probablemente falso","Ninguno","Ninguna","Casa propia","44,4",1952,"25,000 - 39,999","Sin Bachillerato","40-49","Moderado","Nor-Este","Sí","Me gusta a ratos","Me gusta","Me gusta a ratos","Me gusta"
"76",79,"Ama de casa","Divorciado",17,9,"4",41,"Marzo","Piscis",12,"Medio",NA,"Elemental","Mujer","Negra","$8000-9999",NA,"Atlántico central","Ciudad > 250000",1688,"Demócrata Militante","Ha votado","Decididamente liberal","A Favor","A Favor",NA,"Protestante","Rutinaria","4","Completamente en Desacuerdo","A Favor","De Acuerdo","Sí","Varios días a la semana",5,"Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","No me gusta","Me gusta","No me gusta","No","No","Varios días a la semana","Diariamente","Diariamente","Completamente falso","1 Compañero","2-3 veces a la semana","Casa propia",NA,1952,"24,999 o menos","Sin Bachillerato","40-49","Liberal","Nor-Este","No","Me gusta a ratos","Me gusta","Me gusta","Me gusta"
"77",80,"Retirado","Viudo",20,9,"5",69,"Marzo","Aries",12,"Elemental","Elemental","Elemental","Mujer","Negra","$1000-2999",NA,"Atlántico central","Suburbio, Ciudad grande",85,"Demócrata","No ha votado","Ligeramente liberal","En Contra",NA,"En Contra","Protestante",NA,"2",NA,"A Favor","Completamenete de Acuerdo","No","Una vez a la semana",2,"Me gusta mucho",NA,"Me gusta a ratos","No me gusta",NA,"No me gusta","Me disgusta",NA,"No me gusta","Me disgusta","No me gusta","No","No","Diariamente","Diariamente","Diariamente","Probablemente cierto","Ninguno","Ninguna","Casa propia","21,2",1924,"24,999 o menos","Sin Bachillerato","50+","Tendencia liberal","Nor-Este","No","Me disgusta",NA,"Me disgusta","Me disgusta"
"78",81,"Desempleado, despedido","Soltero",NA,2,"2",41,"Julio","Cáncer",12,"Medio",NA,"Elemental","Mujer","Negra","$5000-5999",NA,"Atlántico central","Suburbio, Ciudad grande",85,"Demócrata Militante","No ha votado","Moderado","A Favor","A Favor",NA,"Protestante","Rutinaria","2","De Acuerdo","A Favor","Completamenete de Acuerdo","Sí","Diariamente",5,"Me gusta a ratos","Me gusta a ratos","Me disgusta","Me gusta","Me gusta",NA,"No me gusta","Me gusta mucho","No me gusta","Me disgusta","Me disgusta","No","No","Varios días al mes","Varios días a la semana","Varios días a la semana",NA,"1 Compañero","4+ veces a la semana","Casa propia","26,7",1952,"24,999 o menos","Sin Bachillerato","40-49","Moderado","Nor-Este","No",NA,"Me gusta","Me disgusta","Me gusta"
"79",82,"Ama de casa","Casado",30,1,"1",32,"Agosto","Leo",9,"Elemental","Elemental","Elemental","Mujer","Otra","$8000-9999",NA,"Atlántico central","Suburbio, Ciudad grande",85,"Republicano","No ha votado","Ligeramente conservador","En Contra","En Contra","En Contra","Católico","Aburrida",NA,NA,NA,NA,NA,NA,2,"No me gusta","Me gusta","Me gusta","Me gusta",NA,"Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta","No me gusta","Sí","No","Raramente","Diariamente","Diariamente","Probablemente cierto",NA,NA,NA,"22,7",1961,"24,999 o menos","Sin Bachillerato","30-39","Tendencia conservadora","Nor-Este","Sí","Me gusta","Me gusta","Me gusta","Me gusta"
"80",83,"A tiempo completo","Casado",22,1,"1",29,"Junio","Géminis",14,"Bachillerato",NA,"Diploma universitario","Mujer","Negra","$22500-24999","$17500-19999","Atlántico central","Suburbio, Ciudad grande",85,"Demócrata","No ha votado","Moderado","A Favor",NA,"En Contra","Protestante",NA,"1","Completamenete de Acuerdo","En Contra","Completamenete de Acuerdo","No","Menos de una vez a la semana",1,NA,NA,"No me gusta","No me gusta","Me gusta","Me gusta","No me gusta","Me gusta","Me gusta","Me disgusta","Me disgusta","Sí","Sí","Raramente","Raramente","Varios días al mes","Completamente falso","1 Compañero","2-3 veces a la semana","En alquiler","63,2",1964,"24,999 o menos","Sin Bachillerato","18-29","Moderado","Nor-Este","Sí","Me gusta","Me gusta","Me disgusta","Me disgusta"
"81",84,"Temporalmete desempleado","Soltero",NA,2,"2",51,"Agosto","Leo",13,"Medio","Medio","Medio","Mujer","Negra","$17500-19999","$17500-19999","Atlántico central","Suburbio, Ciudad grande",85,"Demócrata","Ha votado","Moderado","A Favor","A Favor","A Favor","Católico","Excitante",NA,NA,NA,NA,NA,NA,2,"Me gusta mucho",NA,"Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta","Me disgusta","Me gusta mucho","Me gusta a ratos","Me disgusta","Me disgusta","No","No","Varios días a la semana","Diariamente","Varios días al mes","Probablemente falso","Ninguno","Ninguna",NA,"38",1942,"24,999 o menos","Sin Bachillerato","50+","Moderado","Nor-Este","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"82",85,"A tiempo completo","Casado",22,0,"0",35,"Julio","Cáncer",16,"Diploma universitario","Medio","Medio","Hombre","Blanca","$60000-74999","$30000-34999","Atlántico central","Suburbio, Ciudad grande",59,"Republicano","Ha votado","Ligeramente liberal","A Favor",NA,"En Contra","Ninguna",NA,"2","En Desacuerdo","A Favor","De Acuerdo","Sí","Una vez a la semana",3,"Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta","Me gusta","Me gusta a ratos","Me gusta mucho","Me gusta","Me gusta","Me gusta","Sí","Sí","Varios días a la semana","Diariamente","Varios días a la semana",NA,"1 Compañero","2-3 veces al mes","Casa propia","63,5",1958,"60,000 o más","Bachiller","30-39","Tendencia liberal","Nor-Este","Sí","Me gusta","Me gusta","Me gusta","Me gusta"
"83",86,"A tiempo completo","Casado",25,3,"1",36,"Julio","Cáncer",14,"Medio","Elemental","Medio","Hombre","Blanca","$50000-59999","$40000-49999","Atlántico central","Suburbio, Ciudad grande",59,"Simpatizante Demócrata","Ha votado","Ligeramente liberal","A Favor","En Contra","A Favor","Católico","Rutinaria",NA,NA,NA,NA,NA,NA,4,"Me gusta","Me gusta a ratos","No me gusta","No me gusta","Me disgusta","Me gusta a ratos","Me gusta a ratos","Me disgusta","No me gusta","Me gusta a ratos","Me gusta a ratos","Sí","Sí","Varios días a la semana","Diariamente","Diariamente","Probablemente falso","1 Compañero","Una vez a la semana",NA,"31,5",1957,"40,000 - 59,999","Sin Bachillerato","30-39","Tendencia liberal","Nor-Este","Sí","Me gusta a ratos","Me disgusta","Me gusta a ratos","Me disgusta"
"84",87,"A tiempo completo","Casado",27,2,"2",41,"Diciembre","Capricornio",12,"Medio","Medio","Medio","Hombre","Blanca","$35000-39999","$35000-39999","Atlántico central","Suburbio, Ciudad grande",59,"Simpatizante Demócrata","Ha votado","Moderado","A Favor",NA,"A Favor","Protestante",NA,"2","Completamente en Desacuerdo","A Favor","De Acuerdo","Sí","Una vez a la semana",4,"Me gusta","Me gusta a ratos","Me gusta a ratos","No me gusta","Me gusta","No me gusta","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me disgusta","Me disgusta","Sí","No","Diariamente","Varios días a la semana","Diariamente","Probablemente cierto","1 Compañero","Una vez a la semana","Casa propia","36,5",1952,"25,000 - 39,999","Sin Bachillerato","40-49","Moderado","Nor-Este","Sí","Me disgusta","Me gusta a ratos","Me disgusta","Me disgusta"
"85",88,"A tiempo completo","Soltero",NA,1,"0",62,"Marzo","Piscis",18,"Diploma universitario","Elemental",NA,"Mujer","Blanca","$17500-19999","$17500-19999","Atlántico central","Suburbio, Ciudad grande",59,"Republicano","Ha votado","Decididamente conservador","A Favor","A Favor","En Contra","Protestante","Rutinaria",NA,NA,NA,NA,NA,NA,2,"Me gusta",NA,"Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta","Me gusta a ratos","Me gusta mucho","Me gusta a ratos","Me disgusta","Sí","Sí","Varios días a la semana","Diariamente","Diariamente","Completamente falso","Ninguno","Ninguna",NA,"78,5",1931,"24,999 o menos","Bachiller","50+","Conservador","Nor-Este","No","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos"
"86",89,"A tiempo completo","Casado",21,1,"2",44,"Noviembre","Sagitario",12,"Medio","Elemental","Medio","Hombre","Blanca","$75000+","$75000+","Atlántico central","Suburbio, Ciudad grande",59,"Republicano","Ha votado","Ligeramente conservador","En Contra",NA,"En Contra","Protestante",NA,"2","Completamente en Desacuerdo","A Favor","Completamenete de Acuerdo","Sí","Una vez a la semana",2,"Me gusta","Me gusta","Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta a ratos","No me gusta","Me disgusta","Me disgusta","No","No","Varios días al mes","Varios días al mes","Varios días al mes","Probablemente cierto","1 Compañero","Una vez a la semana","Casa propia","53,3",1949,"60,000 o más","Sin Bachillerato","40-49","Tendencia conservadora","Nor-Este","Sí","Me gusta","Me gusta a ratos","Me disgusta","Me gusta"
"87",90,"Ama de casa","Casado",22,5,"7",64,"Febrero","Piscis",12,"Medio","Medio","Elemental","Mujer","Blanca","$17500-19999",NA,"Atlántico central","Suburbio, Ciudad grande",59,"Republicano Militante","Ha votado","Moderado","A Favor","A Favor",NA,"Protestante","Excitante","5","En Desacuerdo","En Contra","De Acuerdo","No","Diariamente",4,"Me gusta mucho","Me gusta a ratos","Me gusta","No me gusta","Me gusta mucho","Me gusta","Me gusta a ratos","No me gusta","Me disgusta","Me disgusta","Me disgusta","Sí","Sí","Varios días a la semana","Diariamente","Varios días al mes",NA,"1 Compañero",NA,"Casa propia","30,7",1929,"24,999 o menos","Sin Bachillerato","50+","Moderado","Nor-Este","Sí","Me gusta","Me disgusta","Me disgusta","Me disgusta"
"88",91,"A tiempo completo","Casado",30,3,NA,49,"Febrero","Acuario",15,"Medio",NA,"Elemental","Hombre","Blanca","$50000-59999","$40000-49999","Nor-Este central","Suburbio, Ciudad grande",19,"Simpatizante Republicano","Ha votado","Ligeramente conservador","A Favor","A Favor",NA,"Protestante","Excitante","2","De Acuerdo","A Favor","Completamente en Desacuerdo","Sí","Varios días a la semana",1,"Me gusta",NA,"Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta","Me disgusta","No me gusta","No me gusta","Sí","No","Varios días a la semana","Diariamente","Raramente","Probablemente cierto","1 Compañero","2-3 veces al mes","Casa propia","48,9",1944,"40,000 - 59,999","Sin Bachillerato","40-49","Tendencia conservadora","Centro Oeste","Sí","Me gusta a ratos","Me gusta","Me disgusta","Me gusta a ratos"
"89",92,"A tiempo completo","Soltero",NA,4,"0",62,"Noviembre","Sagitario",12,"Medio","Medio",NA,"Mujer","Blanca","$35000-39999","$25000-29999","Nor-Este central","Suburbio, Ciudad grande",19,"Republicano","Ha votado","Conservador","A Favor","A Favor","En Contra","Católico","Rutinaria",NA,NA,NA,NA,NA,NA,1,"Me gusta mucho","Me gusta a ratos","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me disgusta","Me disgusta","No","Sí","Varios días a la semana","Diariamente","Varios días al mes","Probablemente falso","Ninguno","Una vez al mes",NA,"38,4",1931,"25,000 - 39,999","Sin Bachillerato","50+","Conservador","Centro Oeste","No","Me gusta","Me gusta","Me disgusta","Me gusta a ratos"
"90",93,"Retirado","Casado",21,1,"4",62,"Marzo","Aries",18,"Licenciado","Elemental","Medio","Mujer","Blanca","$60000-74999","$12500-14999","Nor-Este central","Suburbio, Ciudad grande",19,"Independiente","Ha votado","Moderado","En Contra",NA,"En Contra","Católico",NA,NA,"En Desacuerdo","A Favor","En Desacuerdo","No","Diariamente",1,"Me gusta","Me gusta a ratos","Me gusta a ratos",NA,"Me gusta","Me gusta","Me gusta","Me gusta","Me gusta a ratos",NA,"No me gusta","Sí","Sí","Varios días al mes","Diariamente","Varios días al mes","Completamente cierto","1 Compañero","Una vez al mes","Casa propia","80,3",1931,"60,000 o más","Bachiller","50+","Moderado","Centro Oeste","Sí","Me gusta","Me gusta",NA,NA
"91",94,"A tiempo parcial","Casado",29,2,"1",49,"Diciembre","Capricornio",13,"Medio","Diploma universitario","Medio","Mujer","Blanca","Rehusa","Rehusa","Nor-Este central","Suburbio, Ciudad grande",19,"Demócrata Militante","Ha votado","Moderado","A Favor","A Favor",NA,"Católico","Excitante","2","De Acuerdo","A Favor","En Desacuerdo",NA,"Varios días a la semana",2,"Me gusta","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","No me gusta","Me gusta","Me gusta a ratos","Me gusta","No me gusta","Me disgusta","Sí","No","Varios días al mes","Varios días a la semana","Raramente","Probablemente cierto","1 Compañero","Una vez al mes","Casa propia","33,1",1944,"60,000 o más","Sin Bachillerato","40-49","Moderado","Centro Oeste","Sí","Me disgusta","Me gusta a ratos","Me disgusta","Me gusta a ratos"
"92",95,"Estudiante","Divorciado",22,2,"2",49,"Junio","Géminis",15,"Bachillerato","Medio","Diploma universitario","Mujer","Blanca","$35000-39999",NA,"Nor-Este central","Suburbio, Ciudad grande",19,"Republicano","Ha votado","Ligeramente conservador","A Favor","A Favor",NA,"Católico","Excitante",NA,"De Acuerdo","A Favor","Completamente en Desacuerdo","Sí","Una vez a la semana",3,"Me gusta mucho","Me gusta","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta","Me gusta","Me gusta","Me gusta a ratos","Me gusta a ratos","No me gusta","No","Sí","Diariamente","Varios días al mes","Nunca","Probablemente falso","Ninguno","Ninguna","Casa propia","36,1",1944,"25,000 - 39,999","Sin Bachillerato","40-49","Tendencia conservadora","Centro Oeste","No","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"93",96,"A tiempo completo","Casado",26,1,"2",45,"Junio","Géminis",18,"Licenciado","Licenciado","Medio","Hombre","Blanca","$75000+","$75000+","Nor-Este central","Suburbio, Ciudad grande",19,"Republicano","Ha votado","Ligeramente liberal",NA,NA,"En Contra","Protestante",NA,NA,"En Desacuerdo","A Favor","De Acuerdo","Sí","Diariamente",2,"Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","No me gusta","Me gusta a ratos","Me gusta","Me gusta","No me gusta","Me disgusta","No me gusta","Sí","No","Varios días a la semana","Varios días a la semana","Varios días a la semana",NA,"1 Compañero","2-3 veces al mes","Casa propia","76,4",1948,"60,000 o más","Bachiller","40-49","Tendencia liberal","Centro Oeste","Sí","Me gusta a ratos","Me gusta","Me disgusta","Me gusta a ratos"
"94",97,"Retirado","Viudo",30,0,"1",75,"Mayo","Géminis",16,"Diploma universitario","Elemental","Elemental","Hombre","Blanca","$35000-39999",NA,"Nor-Este central","Suburbio, Ciudad grande",19,"Simpatizante Republicano","Ha votado","Moderado","A Favor","A Favor",NA,"Católico","Rutinaria","2","Completamente en Desacuerdo",NA,"De Acuerdo","No","Diariamente",3,"Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta","Me gusta mucho","Me gusta a ratos","Me gusta","Me gusta","Me gusta","No me gusta","Sí","No","Diariamente","Diariamente","Nunca",NA,"Ninguno","Ninguna","Casa propia","76,4",1918,"25,000 - 39,999","Bachiller","50+","Moderado","Centro Oeste","No","Me gusta","Me gusta","Me gusta","Me gusta"
"95",98,"Retirado","Casado",23,8,"5",75,"Enero","Acuario",16,"Diploma universitario","Elemental","Elemental","Hombre","Blanca","$22500-24999",NA,"Nor-Este central","Suburbio, Ciudad grande",19,"Demócrata","Ha votado","Moderado","A Favor","A Favor","En Contra","Católico","Rutinaria",NA,NA,NA,NA,NA,NA,4,"Me gusta mucho","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta a ratos","No me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","No me gusta","No me gusta","No","No","Varios días a la semana","Diariamente","Varios días a la semana",NA,NA,NA,NA,"76,4",1918,"24,999 o menos","Bachiller","50+","Moderado","Centro Oeste","Sí","Me disgusta","Me gusta a ratos","Me disgusta","Me gusta"
"96",99,"Estudiante","Soltero",NA,3,"0",18,"Enero","Capricornio",11,"Elemental",NA,"Licenciado","Hombre","Otra","$40000-49999",NA,"Nor-Este central","Suburbio, Ciudad grande",67,"Independiente","No ha votado","Decididamente liberal","En Contra","A Favor","A Favor","Ninguna","Excitante",NA,NA,NA,NA,NA,NA,1,"Me gusta","No me gusta","No me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta mucho","Me gusta a ratos","Me gusta","No me gusta","Sí","Sí","Varios días a la semana","Varios días a la semana","Diariamente","Probablemente cierto","2 Compañeros","4+ veces a la semana",NA,"59,9",1975,"40,000 - 59,999","Sin Bachillerato","18-29","Liberal","Centro Oeste","No","Me gusta","Me gusta","Me gusta","Me gusta"
"97",100,"A tiempo completo","Soltero",NA,3,"0",31,"Julio","Cáncer",16,"Diploma universitario","Diploma universitario","Bachillerato","Hombre","Blanca","$35000-39999","$35000-39999","Nor-Este central","Suburbio, Ciudad grande",67,"Republicano","No ha votado","Conservador","A Favor","A Favor",NA,"Católico","Rutinaria","4","Completamente en Desacuerdo","En Contra","De Acuerdo","No","Una vez a la semana",2,NA,NA,"No me gusta","No me gusta","Me gusta a ratos","Me gusta a ratos","No me gusta","Me gusta a ratos","Me gusta a ratos","No me gusta","Me gusta a ratos","Sí","Sí","Raramente","Diariamente","Raramente","Completamente falso","1 Compañero","2-3 veces a la semana","En alquiler","50,7",1962,"25,000 - 39,999","Bachiller","30-39","Conservador","Centro Oeste","No","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me disgusta"
